Commit,EstimatedTime,RealTime,Difference,Message
4442bf2c95f68bbbf3dcc8e84b1775a90eb9927a,5,3,2,
9bb2499c9c8be9c401d32fd7930ea0b975678db0,5,2.84,2.16,
8e21b9e966ae0cd72bfdb9b0b8e99b2dead9e0d7,5,5.86,-0.86,The build files have been changed. Prediction may not be accurate.
d07e166432e0b85d64347ac30a1665d69c2cb288,160.68,144.42,16.26,
7563ab473468fecefc388ae2ed06afab8ead6211,5,6.44,-1.44,The build files have been changed. Prediction may not be accurate.
b990acf7ae7cfd6dec5c7de61de49e45d6112af9,195.9,67.65,128.25,The build files have been changed. Prediction may not be accurate.
26e07869af572ea46c339b8d4045cb9537066c04,5,2.48,2.52,
bbf07fb15e90abe2d31609d388e89b852962b028,5,2.44,2.56,
35b401c8bb0c7bb9324e7d8ae0e5d0a63f98872c,12.39,8.71,3.68,
fadd00c7085fd0dc2722c974260768540cc6f8b9,11.7,7.89,3.81,
16d674411f769360fe047b3fd542d47fd05fa65e,11.7,7.92,3.78,
195a0cb6bb8cc8739902fcf3245bfe256c980c60,11.64,12.21,-0.57,The build files have been changed. Prediction may not be accurate.
cfb692825aaa64c2663963568df1b7dfa4b67e89,12.94,9.23,3.71,
b26b083aa20daceeb14ab43a73655d06c9fccf5b,11.6,7.87,3.73,
ec40e9d921a2f9c9a54d238100ddd417368cf161,12.22,8.57,3.65,
ac1166626c1cd753087fa81a780c39b20f259c71,12.34,8.61,3.73,
f8ff1049d3e52971813243a559a8148f06c26e15,11.6,7.85,3.75,
c91411464ec02f1a7b66568b63facea941df6ff2,12.22,8.59,3.63,
ae048625fee3ece3898110f6034063aee6c84336,11.81,8.07,3.74,
39a22880b6d8544fec51ba3176214f38a8a572b8,5,2.42,2.58,
be16115e6743bcd7cdd2d4d76d87145a6175e183,5,2.43,2.57,
33549086bc0af9e2cbc2910ae2cb9ba67b99ea0c,5,2.44,2.56,
9ec74d20a7e89344fecfc7f994168ea30a6b8c5f,16.83,12.59,4.24,
c9dd204909aa89648b29c5bd7e159bb32ebc2017,13,9.31,3.69,
9198f19d97aa24d4d034dee5971d7188cb04e27c,5,2.79,2.21,The build files have been changed. Prediction may not be accurate.
f8189ddf9869ed8e90f9b640d9545fe4011adb7d,20.78,16.25,4.53,
41013a01f44e9fc15ffef55eae78af2425bbd5a3,18.13,13.91,4.22,
7d8e98ee09885daf9f5af13ebe7f7d33d8fcfc17,5.18,5.27,-0.09,The build files have been changed. Prediction may not be accurate.
5411a187a38308c17a78ceeb6c2f08d289fa5db5,6.01,6.17,-0.16,The build files have been changed. Prediction may not be accurate.
05d429af9d6e99b598e47b64b2bf7a3d0a9f57f5,136.39,120.97,15.42,
f5e875b2f847b01a5199f853c97b06066d2c2c6b,68,60.49,7.51,
424b3b9c6c725e179efc8ea8688f57469c40ed8d,5,2.42,2.58,
15a85f2095919ec4979747edc0882222adebaf6a,124.92,111.44,13.48,
504f189e59a3df7656fb90c06dcd2cff17a70199,11.65,7.82,3.83,
d06d078959889c40b8437467445a4a3a65e0631b,5,2.53,2.47,
1341598c80b8149059e2485c843d62e52b21b3ab,5,2.41,2.59,
6bd94863d0228465731c827e66f1bf9050f351a6,5,2.44,2.56,
f3c029978c064976ca2033c0b38f47553094b425,5,3.28,1.72,
b7145a1d7227c7ddfea8051bef5d2e8a6301ad42,5,6.43,-1.43,The build files have been changed. Prediction may not be accurate.
0ffb21d355bde6ac11e7871dc0bf79009a6471c3,5,2.49,2.51,
17e5281ca938f334abceee920759bc2329daa1f0,71.57,59.79,11.78,
931483aa258e4cba2df009c9b0a7bb7cb5904c75,190.12,66.84,123.28,The build files have been changed. Prediction may not be accurate.
7b3f6da30718c443d64169813b4ae1b3a28ba934,69.09,59.51,9.58,
098f19bcedc2235f4ee0999b772f9713a1544beb,5,2.44,2.56,
19689af0916fa2aad5d6026b42c1615657dfc025,5,2.46,2.54,
8f2d18185844dbf0e095d83f4cd8a7adfce25260,5.18,8.14,-2.96,The build files have been changed. Prediction may not be accurate.
6a1e8e8fa70fdd734b79ae3b5e2bf9ab64a31c90,12.28,8.63,3.65,
6055954a094ec0434c9a954659170871816e1819,5,2.49,2.51,
2aa73388755846b46adfbd39d65816f56b7add89,5,4.54,0.46,The build files have been changed. Prediction may not be accurate.
e88796cad09a22ccd05672a86403e92fc5bafd70,5,4.6,0.4,The build files have been changed. Prediction may not be accurate.
36c47f2a55aacca160c5b93170bd71996070859b,5,2.46,2.54,
89d8dc979b363dea363a0a03999ddcc17f21798f,12.82,8.99,3.83,
bcbd8d73cecdd2050670fab6502fab8c84d8cec5,12.42,8.62,3.8,
9a865020ca119ea89fbbd836eeff4b374394152d,5,2.44,2.56,
c494ae06b7bb3ba6225e485452d3acd6e458c815,12.38,8.59,3.79,
1249e10b8ea8ead5b40917dfb8bef8ff4fa75c1d,5,2.46,2.54,
a340a5ef442c774fb04f0e14c86443d8d8ddb58d,12.82,8.91,3.91,
